backend,size_bytes,level,iter,wall_ms,sandbox_ms,native_ms
meta_wasm,4194304,9,4,37.99103799974546,18.105,15.557
meta_adaptive,4194304,9,0,40.73582898126915,19.639,16.682
meta_adaptive,4194304,9,1,41.685526026412845,20.028,16.708
meta_adaptive,4194304,9,2,35.75942595489323,17.154,14.419
meta_adaptive,4194304,9,3,42.59118699701503,20.082,17.948
meta_adaptive,4194304,9,4,40.828977013006806,19.593,16.583
native,16777216,1,0,43.52488199947402,,40.983
native,16777216,1,1,47.930715954862535,,45.007
native,16777216,1,2,48.324858013074845,,45.39
native,16777216,1,3,44.064784015063196,,41.486
native,16777216,1,4,43.92297304002568,,41.245
wasm2c,16777216,1,0,92.08447899436578,45.521,42.42
wasm2c,16777216,1,1,92.2000790014863,46.109,42.009
wasm2c,16777216,1,2,92.35610399628058,46.137,42.151
wasm2c,16777216,1,3,252.84720095805824,46.256,42.495
wasm2c,16777216,1,4,92.95344998827204,46.167,42.297
process,16777216,1,0,287.65481896698475,226.151,53.527
process,16777216,1,1,283.35883701220155,222.284,53.758
process,16777216,1,2,282.8616480110213,220.099,54.689
process,16777216,1,3,268.65725696552545,211.629,49.705
process,16777216,1,4,283.0907400348224,221.915,53.673
meta_process,16777216,1,0,313.87797702336684,248.882,57.22
meta_process,16777216,1,1,332.437768985983,263.378,60.373
meta_process,16777216,1,2,296.68912501074374,236.356,53.556
meta_process,16777216,1,3,284.7497079637833,225.912,51.322
meta_process,16777216,1,4,295.3517200076021,234.851,52.884
meta_wasm,16777216,1,0,124.89704502513632,76.532,42.153
meta_wasm,16777216,1,1,126.47150998236611,77.453,43.128
meta_wasm,16777216,1,2,126.51100702350959,77.358,42.749
meta_wasm,16777216,1,3,124.81997901340947,76.93,42.281
meta_wasm,16777216,1,4,130.0431769923307,79.081,44.464
meta_adaptive,16777216,1,0,104.76217902032658,56.739,41.788
meta_adaptive,16777216,1,1,107.77821199735627,58.377,43.236
meta_adaptive,16777216,1,2,117.22657503560185,63.176,47.474
meta_adaptive,16777216,1,3,113.08001598808914,61.557,44.854
meta_adaptive,16777216,1,4,114.53605000860989,62.196,45.742
native,16777216,6,0,56.851740984711796,,54.283
native,16777216,6,1,57.011608965694904,,54.442
native,16777216,6,2,60.298831027466804,,57.648
native,16777216,6,3,55.17595895798877,,52.761
native,16777216,6,4,55.32567901536822,,52.907
wasm2c,16777216,6,0,118.82057803450152,60.846,54.276
wasm2c,16777216,6,1,119.70745597500354,61.831,53.818
wasm2c,16777216,6,2,120.20503298845142,61.567,54.516
wasm2c,16777216,6,3,118.56629198882729,60.902,53.671
wasm2c,16777216,6,4,117.79058503452688,60.516,53.301
process,16777216,6,0,266.600166040007,203.852,56.208
process,16777216,6,1,277.4855329771526,210.23,60.433
process,16777216,6,2,269.31986201088876,200.497,61.983
process,16777216,6,3,255.83724497118965,190.907,58.423
process,16777216,6,4,271.4218740002252,203.193,61.335
meta_process,16777216,6,0,270.1594270183705,203.01,60.166
meta_process,16777216,6,1,326.31329697323963,204.604,55.444
meta_process,16777216,6,2,276.9234459847212,208.377,61.887
meta_process,16777216,6,3,268.16042396239936,205.951,56.179
meta_process,16777216,6,4,266.4668070501648,203.298,56.519
meta_wasm,16777216,6,0,121.72843900043517,62.689,52.87
meta_wasm,16777216,6,1,128.4145949757658,66.251,56.277
meta_wasm,16777216,6,2,124.7522480553016,64.005,54.436
meta_wasm,16777216,6,3,123.38685401482508,63.274,53.929
meta_wasm,16777216,6,4,126.40168494544923,64.618,55.183
meta_adaptive,16777216,6,0,134.38219402451068,70.901,56.83
meta_adaptive,16777216,6,1,123.12782899243757,63.644,53.117
meta_adaptive,16777216,6,2,134.0531789464876,70.55,57.014
meta_adaptive,16777216,6,3,122.08536901744083,63.095,52.458
meta_adaptive,16777216,6,4,126.47363700671121,65.994,53.786
native,16777216,9,0,56.82549503399059,,54.176
native,16777216,9,1,61.13800796447322,,58.54
native,16777216,9,2,56.568536965642124,,53.905
native,16777216,9,3,57.160633034072816,,54.724
native,16777216,9,4,56.371507002040744,,53.637
wasm2c,16777216,9,0,121.10340798972175,62.295,54.711
wasm2c,16777216,9,1,119.57409797469154,61.506,54.273
wasm2c,16777216,9,2,120.29079801868647,61.942,54.587
wasm2c,16777216,9,3,118.87215997558087,61.017,54.205
wasm2c,16777216,9,4,120.42687303619459,62.297,54.554
process,16777216,9,0,302.29119601426646,234.065,61.721
process,16777216,9,1,261.4764260360971,189.374,65.506
process,16777216,9,2,257.8206090256572,188.545,62.061
process,16777216,9,3,237.54569597076625,173.835,57.268
process,16777216,9,4,278.41058501508087,208.005,63.672
meta_process,16777216,9,0,268.69854098185897,198.901,62.708
meta_process,16777216,9,1,289.4735080190003,217.266,65.06
meta_process,16777216,9,2,305.09217403596267,235.155,62.808
meta_process,16777216,9,3,281.37118398444727,209.272,64.88
meta_process,16777216,9,4,299.4334480026737,232.602,60.499
meta_wasm,16777216,9,0,134.14208800531924,68.542,58.874
meta_wasm,16777216,9,1,253.0552259995602,67.449,57.021
meta_wasm,16777216,9,2,125.50690502393991,64.388,54.474
meta_wasm,16777216,9,3,124.95367502560839,64.179,54.7
meta_wasm,16777216,9,4,128.61590704414994,66.274,56.023
meta_adaptive,16777216,9,0,132.5147189782001,68.677,57.245
meta_adaptive,16777216,9,1,128.90455697197467,66.131,56.281
meta_adaptive,16777216,9,2,130.11587999062613,66.612,56.594
meta_adaptive,16777216,9,3,142.5511070410721,73.86,61.962
meta_adaptive,16777216,9,4,126.71654700534418,65.527,54.879
